,Name,Sex,Equipment,Age,BodyweightKg,BestSquatKg,BestDeadliftKg,BestBenchKg
3,Stacy Hayford,F,Raw,35.0,59.42,95.0,102.5,60.0
4,Brittany Hirt,F,Raw,26.5,61.4,105.0,127.5,60.0
8,Sakiko Ito,F,Single-ply,19.5,51.2,115.0,127.5,62.5
9,Lorrie Bosen,F,Raw,54.0,65.25,72.5,115.0,55.0
15,Samyra Abweh,F,Raw,17.0,47.5,90.0,135.0,77.5
17,Jessica Royse,F,Raw,37.5,106.2,102.5,140.0,60.0
19,Amber Damian,F,Raw,27.5,67.1,122.5,155.0,92.5
21,Lauryn Cudworth,F,Raw,19.5,58.6,110.0,157.5,52.5
22,Emily Rodriguez,F,Raw,18.5,46.7,85.0,115.0,45.0
23,Katerina Skudrikova,F,Raw,18.5,81.5,110.0,135.0,67.5
25,Jessica Thornton,F,Single-ply,15.0,66.2,105.0,122.5,65.0
29,Heidi Colvin,F,Single-ply,17.5,80.3,167.5,152.5,70.0
30,Emily Boudreau,F,Wraps,20.0,61.7,97.5,125.0,55.0
31,Yi Chen,F,Wraps,54.0,54.43,82.5,90.0,40.0
34,Caitlyn Cooper,F,Single-ply,18.5,65.1,145.0,135.0,75.0
36,Sheena Hodges,F,Raw,31.0,73.7,142.5,152.5,80.0
37,Rebekah Shirley,F,Raw,20.0,54.0,92.5,127.5,45.0
47,Sarah Horrox,F,Raw,20.5,83.9,145.0,160.0,82.5
51,Cindy Meeker,F,Wraps,53.0,66.45,85.0,115.0,52.5
53,Lynsey Johnson,F,Wraps,26.0,51.35,97.52,115.67,68.04
54,Kylie Podeswa,F,Raw,17.5,61.8,110.0,115.0,57.5
56,Cat Dupuis,F,Raw,35.0,82.2,140.0,165.0,92.5
63,Cara Westin,F,Single-ply,45.0,68.4,170.0,167.5,122.5
64,Marianne Kosonen,F,Multi-ply,24.0,47.63,222.5,165.0,122.5
66,April Ritenour,F,Raw,23.5,71.9,142.5,142.5,70.0
69,Magdalena Bialek,F,Single-ply,21.5,82.9,227.5,202.5,115.0
73,Phanetavanh Outhavong,F,Raw,34.5,70.93,140.0,157.5,75.0
75,Pam Windrum,F,Single-ply,27.5,94.9,180.0,160.0,105.0
78,Anna Fetter,F,Raw,26.0,96.7,72.5,105.0,50.0
81,Susan Bartley,F,Single-ply,40.0,80.0,137.5,167.5,85.0
84,Rachel Opio,F,Raw,31.5,76.1,105.0,132.5,52.5
85,Tracee Patterson,F,Raw,37.0,81.6,115.0,172.5,80.0
86,Samantha Thomasson,F,Raw,17.5,62.5,130.0,137.5,88.0
87,Brittani Stephan,F,Wraps,20.0,88.6,105.0,117.5,55.0
88,Wynter Addams,F,Wraps,19.0,67.2,212.5,190.0,112.5
92,Shayle Dudash Williams,F,Raw,40.0,65.2,115.0,137.5,62.5
93,Charmane Smith,F,Raw,30.5,101.1,135.0,182.5,75.0
104,Theresa Hayes,F,Raw,32.0,96.52,130.0,142.5,75.0
107,Chiaki Takada,F,Raw,50.5,46.3,77.5,105.0,50.0
109,Stephanie Cantrell,F,Raw,39.0,82.9,135.0,177.5,65.0
112,Daria Vakhrameeva,F,Single-ply,15.5,59.8,167.5,145.0,115.5
116,Corey Mueller,F,Raw,24.5,59.9,112.5,150.0,55.0
118,Nadia Renee,F,Raw,33.5,55.97,117.5,135.0,70.0
120,Allie Perry,F,Raw,16.5,93.0,125.0,122.5,60.0
122,Melissa Wakefield,F,Raw,28.0,74.5,117.5,165.0,67.5
126,Ali Gascoine,F,Raw,52.5,49.9,90.0,155.5,57.5
129,Kelly Tinsman,F,Wraps,40.0,85.8,107.5,122.5,45.0
134,Mary Giffin,F,Raw,44.5,62.85,137.5,145.0,82.5
135,Samantha Nava,F,Raw,24.5,55.0,90.0,132.5,47.5
136,Stephanie Thies,F,Wraps,38.0,52.0,112.5,105.0,62.5
140,Alexis Snider,F,Raw,15.5,57.9,77.5,100.0,35.0
146,Shannon Kehoe,F,Wraps,22.0,55.8,102.5,142.5,77.5
152,Lacey Mesley,F,Raw,30.0,74.8,177.5,195.0,95.0
154,Rebekah Fontana,F,Raw,18.5,50.16,77.5,100.0,40.0
156,Mikayla Keeley,F,Raw,21.5,55.3,82.5,110.0,37.5
158,Alina Chashchyna,F,Raw,14.5,42.76,85.0,110.0,50.0
159,Lindsey Pennel,F,Single-ply,16.5,50.85,97.5,113.4,45.4
161,Kaci Rael,F,Single-ply,14.5,88.8,115.0,117.5,65.0
165,Juliana Mazzeo,F,Raw,21.5,69.2,112.5,127.5,62.5
171,Sarah Houhoulis,F,Raw,24.5,63.3,130.0,140.0,82.5
174,Liz Gasca,F,Raw,26.0,63.8,95.0,107.5,47.5
176,Grace Matthews,F,Wraps,16.0,67.0,127.5,115.0,70.0
177,Priscilla Ribic,F,Single-ply,42.5,71.86,225.0,248.0,145.0
178,Gayla Channel,F,Raw,54.0,47.99,80.0,122.5,46.0
179,Amanda Johnson,F,Raw,31.5,89.7,117.5,137.5,55.0
181,Courtney Pascoe,F,Raw,36.5,71.9,110.0,137.5,60.0
182,Edith Guennec,F,Raw,59.5,54.52,110.0,150.5,55.0
183,Jeanne Hardy,F,Wraps,43.0,113.5,142.5,137.5,90.0
184,Maria Gudsteinsdottir,F,Single-ply,43.5,70.8,180.0,182.5,105.0
185,Lyndall Vile,F,Wraps,29.0,76.4,207.5,210.0,105.0
187,Kathy Tran,F,Raw,21.0,54.8,92.5,112.5,47.5
188,Celeste Ramazani,F,Multi-ply,32.0,70.03,113.4,129.27,49.9
191,Kara Schmidt,F,Raw,39.0,74.6,117.5,127.5,62.5
194,Elena Hernandez,F,Raw,14.5,67.7,105.0,135.0,50.0
195,Jenna Marcinkowski,F,Wraps,22.0,80.15,150.0,165.0,85.0
196,Eva Whittimore,F,Wraps,36.0,59.1,117.5,157.5,75.0
197,Katrina McIntosh,F,Raw,49.5,81.5,125.0,145.0,55.0
198,Georgia Gillie,F,Raw,30.5,102.9,115.0,122.5,70.0
206,Jessica Saywell,F,Raw,25.5,77.0,137.5,177.5,85.0
217,Paulina Castaneda,F,Wraps,19.0,54.8,105.0,130.0,55.0
218,Irina Minikhanova,F,Raw,19.5,61.25,120.0,127.5,70.0
222,Tyla Hughes,F,Single-ply,23.5,59.6,115.0,117.5,65.0
223,Ashley Orth,F,Wraps,22.0,59.28,97.5,127.5,62.5
224,Sandy Edwards,F,Raw,24.0,88.1,100.0,127.5,50.0
227,Kloie Doublin,F,Raw,17.5,71.19,168.5,200.5,107.5
232,Melis Papila,F,Raw,28.5,61.12,122.5,152.5,62.5
234,Taylor Kearns,F,Raw,15.0,57.9,80.0,107.5,47.5
236,Natalie Osburn,F,Raw,38.0,79.6,115.0,127.5,50.0
240,Jade Dickens,F,Raw,42.5,110.5,175.0,170.0,122.5
242,Briana Duval,F,Raw,26.5,56.1,127.5,150.0,67.5
243,Mandy Lewis,F,Raw,35.0,74.0,137.5,157.5,70.0
245,Kate Hart,F,Wraps,21.0,74.5,157.5,167.5,85.0
247,Dawn Bogart,F,Wraps,42.0,58.97,136.08,158.76,92.99
248,Nesi Laukau,F,Raw,21.5,70.95,142.5,150.0,80.0
251,Danielle Crain,F,Raw,28.5,108.3,62.5,112.5,65.0
253,Jasmine Saenz,F,Raw,25.0,59.7,135.0,142.5,65.0
255,Cayley McClean,F,Raw,22.5,80.6,145.0,182.5,77.5
262,Candace Lord,F,Raw,32.5,64.7,120.0,145.0,70.0
266,Raynie Exum,F,Single-ply,19.5,80.8,65.0,117.5,57.5
268,Mia Kukkonen,F,Wraps,43.0,58.0,115.0,135.0,60.0
269,Cyndi Ambert,F,Raw,44.0,58.24,127.5,122.5,80.0
272,Shelby Horton,F,Raw,25.5,61.0,100.0,125.0,52.5
274,Dustine Stevens,F,Wraps,44.0,85.0,105.0,145.0,75.0
276,Lauren Croft,F,Raw,27.5,61.25,100.0,105.0,65.0
278,Karina Mariscal,F,Raw,23.0,55.6,82.5,105.0,45.0
282,Amber Joy,F,Raw,39.5,56.3,82.5,102.5,57.5
283,Elizabeth Disney,F,Raw,26.0,57.1,107.5,125.0,50.0
285,Cassy Krause,F,Wraps,57.0,65.59,82.5,125.0,50.0
290,Aixa Roche,F,Raw,44.5,71.16,117.5,137.5,67.5
293,Janeth Garcia,F,Raw,22.5,72.3,85.0,120.0,50.0
295,Teresa Dinh,F,Raw,22.0,65.4,90.0,137.5,55.0
296,Kimberly Daorerk,F,Wraps,31.0,60.0,120.0,162.5,67.5
299,Amanda Lee,F,Wraps,14.0,61.2,67.5,95.0,37.5
302,Kristi Cloud,F,Raw,46.0,57.88,47.5,92.5,25.0
303,Ann Whitmarsh,F,Raw,62.5,56.68,77.5,102.5,37.5
304,Kimberly Mills,F,Wraps,40.0,104.6,147.5,170.0,67.5
305,Megan Tang,F,Raw,20.0,51.2,105.0,145.0,57.5
311,Nina Dilorenzo,F,Raw,26.0,65.4,110.0,125.0,50.0
317,Vanessa Hearn,F,Wraps,30.0,100.79,167.5,220.0,92.5
322,Izzy Greenblatt,F,Raw,20.5,82.3,127.5,157.5,60.0
326,Ja'Nae Shelton,F,Raw,26.5,128.8,137.5,145.0,60.0
327,Cayte Bona AZ,F,Single-ply,26.0,66.1,152.5,157.5,110.0
328,Anne Hoffman,F,Raw,55.5,53.8,97.5,120.0,52.5
329,Yifan Yang,F,Single-ply,24.0,59.45,95.0,130.0,52.5
331,Colleen Castillo,F,Raw,21.0,85.1,110.0,140.0,87.5
334,Jeny Francisco,F,Wraps,29.0,73.48,107.5,132.5,55.0
336,Marte Elverum,F,Single-ply,25.5,71.7,230.0,235.0,127.5
337,Vicky Fox,F,Raw,49.0,77.3,75.0,125.0,50.0
339,Cassandra Pinto,F,Wraps,21.0,84.8,152.5,155.0,80.0
346,Kristy Kinney,F,Wraps,25.0,87.0,105.0,130.0,52.5
349,Amanda Brothers,F,Raw,25.0,66.6,90.0,122.5,57.5
352,Nicola Frazer,F,Raw,30.5,45.0,105.0,117.5,73.0
353,Rebecca Bruce,F,Raw,44.0,56.0,95.0,162.5,60.0
364,Kyndall Foust,F,Single-ply,19.5,83.36,230.0,200.0,117.5
370,Kim Keen,F,Raw,47.0,77.88,95.0,120.0,67.5
371,Kimmy Brooks,F,Wraps,28.0,74.1,175.0,192.5,77.5
373,Nayell Palomino,F,Wraps,21.0,66.95,105.0,142.5,52.5
374,Megan Smith,F,Raw,39.0,74.8,95.0,105.0,57.5
376,Jennifer Millican,F,Raw,33.5,56.14,174.5,187.5,100.0
