,Name,Sex,Equipment,Age,BodyweightKg,BestSquatKg,BestDeadliftKg,BestBenchKg
0,Carlos Ceron,M,Raw,23.0,87.3,205.0,235.0,125.0
1,Tito Herrera,M,Wraps,23.0,73.48,220.0,260.0,157.5
2,Levi Lehman,M,Raw,26.0,112.4,142.5,220.0,145.0
5,Zoran Jankovski,M,Wraps,23.0,113.5,260.0,285.0,160.0
6,Mitchell Hayes,M,Raw,22.5,90.55,162.5,200.0,107.5
7,John Gibson,M,Raw,24.0,100.0,200.0,227.5,180.0
10,Joe Kiser,M,Wraps,28.0,73.0,157.5,205.0,105.0
11,Eric Loyola,M,Raw,47.0,88.0,220.0,207.5,132.5
12,Hevher Mendez,M,Raw,24.5,79.1,172.5,210.0,105.0
13,Christopher Richards,M,Wraps,25.0,82.5,183.7,226.8,111.13
14,Jamey Grotjahn,M,Raw,42.5,174.25,292.5,322.5,250.0
16,Roque Domingues,M,Wraps,27.0,89.6,215.0,235.0,130.0
18,Geoffery Bennett,M,Raw,38.0,81.8,190.0,237.5,122.5
20,Julio Serrano,M,Wraps,25.0,99.0,310.0,350.0,172.5
24,Andres Cuadros,M,Raw,20.0,91.99,197.5,235.0,117.5
26,Dan Wyman,M,Wraps,47.0,98.66,204.12,204.12,106.59
27,Alastair MacNicol,M,Raw,29.0,99.4,292.5,342.5,185.0
28,Florian Loock,M,Raw,33.5,105.0,250.0,280.0,212.5
32,Justin Dela Cruz,M,Raw,17.5,58.0,97.5,135.0,65.0
33,Eulicez Gonzalez,M,Raw,18.5,57.4,142.5,182.5,107.5
35,Geoffrey Stanford,M,Wraps,24.0,109.0,320.0,320.0,185.0
38,Justin Bennett,M,Wraps,26.0,108.8,255.0,302.5,193.0
39,Darrell Brassell,M,Wraps,22.0,80.74,265.35,278.96,192.78
40,Curt Shaver,M,Wraps,48.0,95.2,180.0,255.0,167.5
41,Leland Tien,M,Wraps,30.5,133.58,283.5,317.51,244.94
42,Aleksandr Kapturov,M,Raw,21.5,73.2,242.5,257.5,130.0
43,Fulton White,M,Single-ply,52.0,73.94,205.0,235.0,145.0
44,Nathan Morace,M,Raw,22.0,79.06,220.0,227.5,142.5
45,Doug Owen,M,Wraps,18.0,107.23,225.0,267.5,152.5
46,Tanner Madison,M,Wraps,16.0,56.0,160.0,167.5,115.0
48,Mehar Bhogal,M,Single-ply,19.5,82.0,225.0,227.5,160.0
49,David Herrera,M,Raw,30.0,81.1,275.0,322.5,175.0
50,Vincent Casenove,M,Single-ply,43.5,72.74,220.0,230.0,147.5
52,Sean Cox,M,Raw,23.5,112.6,235.0,282.5,147.5
55,Harri Hagfors,M,Single-ply,55.5,92.18,252.5,265.0,177.5
57,Richard Loza,M,Wraps,33.0,105.7,232.5,272.5,157.5
58,Andrew Ronayne,M,Wraps,44.0,92.35,175.0,182.5,117.5
59,Matt Livesay,M,Wraps,40.0,106.59,192.78,163.29,142.88
60,Grady Gulbrandson,M,Single-ply,16.5,88.95,170.0,232.5,120.0
61,Harby Limon,M,Raw,38.0,135.17,220.0,250.0,197.5
62,Dillon Smith,M,Wraps,24.0,85.0,240.0,227.5,160.0
65,Ryan Hammons,M,Raw,21.0,74.07,197.5,227.5,147.5
67,William Ha,M,Raw,30.0,99.0,235.0,260.0,157.5
70,Sam Hardy,M,Wraps,25.0,109.15,267.5,285.0,170.0
71,Bill Newman,M,Single-ply,26.0,123.83,342.5,295.0,247.5
72,Kenneth Cameron,M,Raw,38.0,108.41,225.0,277.5,157.5
74,Micheal Seay,M,Raw,20.5,73.0,232.5,260.0,150.0
76,Gerald Dionio,M,Raw,21.0,58.0,177.5,232.5,137.5
77,Joe Reinicke,M,Single-ply,17.5,78.38,222.3,229.1,120.2
79,Steve Stout,M,Single-ply,53.5,92.2,197.5,245.0,172.5
80,Christian Fisher,M,Multi-ply,35.5,104.1,297.1,249.48,213.19
82,Chris Kessler,M,Wraps,31.0,89.81,182.5,207.5,115.0
83,Max Bristow,M,Single-ply,69.5,65.3,155.0,215.0,87.5
89,Michael Howell,M,Raw,29.0,120.97,295.0,335.0,192.5
90,Courtney Hart,M,Wraps,41.0,107.0,295.0,265.0,187.5
91,Jeffrey Johnstone,M,Raw,31.5,76.3,155.0,215.0,90.0
95,Lachlan Rickards,M,Raw,21.5,86.9,210.0,230.0,127.5
96,TJ Gerking,M,Raw,22.0,87.4,222.5,260.0,130.0
97,Leslie Nelson,M,Single-ply,25.0,73.14,114.99,172.48,92.42
98,Nate Wagoner,M,Wraps,24.0,85.9,227.5,255.0,155.0
99,Rex Reguindin,M,Raw,20.0,88.8,220.0,245.0,142.5
